"","x","mvx"
"1",57.0331626158,NA
"2",57.458932715,NA
"3",57.9200489708,NA
"4",58.8702584372,NA
"5",59.2899576218,NA
"6",59.1866958572,58.6716882084667
"7",58.5057890143,58.997611231275
"8",58.075247141,59.3846058178667
"9",58.4351371352,59.8276369831417
"10",59.2919237105,60.1379465787583
"11",59.7821184233,60.364954601475
"12",60.2109868595,60.5520954213083
"13",60.9442388895,60.7843134978333
"14",62.1028677541,61.08413103655
"15",63.2364229541,61.4066602408167
"16",62.5939735846,61.698562991025
"17",62.0140538944,61.9856580109583
"18",61.4323856952,62.21781395575
"19",61.2924059326,62.4090881294417
"20",61.6730576056,62.5096896919333
"21",62.3054875864,62.5339459910417
"22",62.794756713,62.589258161625
"23",63.2272586625,62.6685718471167
"24",62.996858197,62.864017213075
"25",63.2395289738,63.1442547039333
"26",63.310086504,63.3584045870917
"27",63.5274985434,63.5589288445667
"28",63.2577196316,63.7300440465167
"29",62.9658181203,63.926455475425
"30",63.7777300867,64.222731876975
"31",64.6552558229,64.6258919057167
"32",64.2428562035,65.1356743052417
"33",64.7117786761,65.8493011977417
"34",64.8481391364,66.7715162728
"35",65.5841958094,67.8656686406583
"36",66.5521750156,68.9868701465667
"37",68.0774493187,70.0830832028833
"38",69.4274752983,71.215865946525
"39",72.0910212534,72.3594815602167
"40",74.3243005323,73.4679447689083
"41",76.0956465346,74.44184611565
"42",77.2321481576,75.357266837175
"43",77.8098124987,76.223482176175
"44",77.8362491272,76.9968376950583
"45",78.4351660404,77.6698906242833
"46",78.1496976407,78.2270409312583
"47",77.2710119703,78.605417527975
"48",77.5372236739,78.843227071975
"49",78.4720333867,79.0046575558833
"50",78.7077415249,79.0726464283583
"51",80.1676564041,79.0858894157667
"52",81.010104216,79.1746670760917
"53",80.6361656952,79.3604374323917
"54",80.0858626856,79.6174574977667
"55",79.7469783056,79.9142140714667
"56",78.6521155969,80.2307931710167
"57",78.5940818893,80.4571087717583
"58",79.2150295646,80.6741385884083
"59",79.5002562459,80.9093862440417
"60",80.6214644584,81.16528851215
"61",82.0331122711,81.4383882197166
"62",82.5066907195,81.8088947098583
"63",82.883443613,82.175656060375
"64",83.6144620158,82.5334923419
"65",83.4591375628,82.9274890174417
"66",83.1566899029,83.3037236706667
"67",83.0241747964,83.6543465828083
"68",83.0981934786,84.033661514075
"69",82.9952180955,84.4213646523333
"70",83.5090649429,84.8641483387
"71",84.2282163524,85.3747173742333
"72",85.1362802971,85.827332388425
"73",86.2405872168,86.2894904023
"74",87.0584698947,86.797388753125
"75",87.5358812721,87.3968609492917
"76",88.9278662522,87.9698445716083
"77",89.5859659892,88.5409916327833
"78",88.5880700732,89.0223689777666
"79",88.5700709629,89.4345159492583
"80",89.1929736885,89.8586254999583
"81",90.1888844495,90.4425536354083
"82",90.3848684107,90.87423470275
"83",91.0819810865,91.1719241675417
"84",90.9128084369,91.5571763969833
"85",91.1863508747,91.9706819129333
"86",92.1477845031,92.3660519358333
"87",94.5430188975,92.839874711025
"88",94.1080390603,93.2925031770917
"89",93.1582395667,93.702561350325
"90",93.2110968265,94.0754123436
"91",93.5321371543,94.4697459920583
"92",93.9374139633,94.771095489475
"93",95.8747577518,94.9400766529583
"94",95.8164100035,95.1258849990917
"95",96.0026791653,95.3044388990833
"96",95.3870203562,95.4251804252333
"97",95.9183546562,95.4725365296
"98",95.7639784721,95.5123910674917
"99",96.5707928593,95.4330957115833
"100",96.3377392139,95.4457619406917
"101",95.3008863666,95.5081952886333
"102",94.6599951403,95.6427440091583
"103",94.1004104067,95.8703644397583
"104",94.415668418,96.072109482575
"105",94.9232134809,96.3397766444167
"106",95.9684047528,96.6760581835333
"107",96.7518793406,97.0149903261416
"108",97.0016050025,97.366963378075
"109",98.6497998234,97.8261024346916
"110",98.1849189859,98.32450644855
"111",99.7827988014,98.782348111975
"112",100.3731176833,99.17195713805
"113",99.3680720779,99.544993990025
"114",98.8836717635,99.905067133875
"115",99.6100790861,100.165912264033
"116",100.3965165843,100.501592185042
"117",100.417313442,100.748515969708
"118",100.6437130657,101.0952211152
"119",101.2283215643,101.539326759258
"120",101.3224827287,102.058346609
"121",101.7799413853,102.487710526783
"122",102.213078038,102.845194207542
"123",102.7458842174,103.220317428883
"124",104.5335794292,103.52619033335
"125",104.6973398066,103.78250776425
"126",105.1119099604,104.070035941025
"127",104.7624460995,104.362134222142
"128",104.6863207534,104.652907569208
"129",104.9187920981,104.956832165067
"130",104.3141879193,105.17380614685
"131",104.3041307351,105.367064397542
"132",104.77282085,105.502183317383
"133",105.2851207587,105.630066156933
"134",105.7023582028,105.7078513008
"135",106.3929793677,105.724586851967
"136",107.1372672106,105.739384221017
"137",107.0164388149,105.736290254367
"138",106.7333369985,105.73282548525
"139",106.2970401741,105.727822867492
"140",105.6197424798,105.722445791817
"141",105.1196187121,105.73305991265
"142",104.4917563479,105.803166710067
"143",104.2670031353,105.852483467175
"144",104.7312436206,105.92488644135
"145",105.2250893456,105.950172423483
"146",105.6378332947,106.052452409292
"147",106.5203488177,106.122665346342
"148",107.9785487796,106.201946474425
"149",107.6082399002,106.202577700292
"150",107.6021726886,106.169197542992
"151",106.6004719597,106.109216698308
"152",106.8471023095,106.048917299283
"153",105.9621739567,105.966377544908
"154",105.4431298849,105.628274157758
"155",104.2745778457,105.252431432383
"156",104.330681733,NA
"157",104.5053192094,NA
"158",104.9142405064,NA
"159",105.5298717652,NA
"160",103.9213081338,NA
"161",103.0981271957,NA
