"","Items","items","a","b","pval","Prank"
"56","Artefactos y equipo terapéuticos (D)","Ayet(",4.0227397294139,0.115808639961163,3.57633113687263e-39,"***"
"57","Servicios para pacientes externos","Sppe",3.57478151936552,0.210691446746584,2.92758190792048e-57,"***"
"58","Servicios médicos (S)","Sm(S",3.47497740014533,0.232742296567282,8.30144712619574e-60,"***"
"59","Servicios dentales (S)","Sd(S",3.50755066815104,0.227139033545279,3.79436735948584e-51,"***"
"60","Servicios paramédicos (S)","Srvcspr(S)",3.99254232380079,0.123249706308458,2.14695856000997e-51,"***"
"61","Servicios de hospital (S)","Sdh(",3.96892262536004,0.12983483764478,7.81792981352741e-45,"***"
"62","Servicios de hospital (S)","Sdh(",3.96892262536004,0.12983483764478,7.81792981352741e-45,"***"
"63","Servicios de hospital (S)","Sdh(",3.96892262536004,0.12983483764478,7.81792981352741e-45,"***"
"64","Servicios de hospital (S)","Sdh(",3.96892262536004,0.12983483764478,7.81792981352741e-45,"***"
"65","Transporte","Trns",4.18291857883817,0.0870100653838305,5.43220069292037e-58,"***"
"66","Adquisición de vehículos","Addv",4.3355663943564,0.0633100797319552,7.25950425313594e-73,"***"
"67","Vehículos a motor (D)","Vam(",4.34886116993761,0.0600791314524864,6.49931407553179e-76,"***"
"68","Bicicletas (D)","B(D)",4.12935761431249,0.0878979073297454,2.09285020358204e-48,"***"
"69","Funcionamiento de equipo de transporte personal","Fdedtp",4.10184230435601,0.0963953445747198,1.09436217598262e-77,"***"
"70","Piezas de repuesto y accesorios para equipo de transporte personal (SD)","Pdryapedtp(",3.59027232407096,0.196848206684938,1.39370325024489e-63,"***"
"71","Combustibles y lubricantes para equipo de transporte personal (ND)","Cylpedtp(",4.52070423306956,0.013749267149311,1.13520510673009e-58,"***"
"72","Conservación y reparación de equipo de transporte personal (S)","Cyrdedtp(",3.53177037662074,0.212001744422948,7.1731844246726e-84,"***"
"73","Servicios de estacionamiento y peaje (S)","Sdeyp(",3.81981284301907,0.151033042737025,3.91093184657886e-68,"***"
"74","Servicios de transporte","Srdt",4.15024136592635,0.0922691066630234,1.90873080635747e-34,"***"
"75","Transporte de pasajeros por carretera (S)","Tdppc(",4.23827331591826,0.0770306696990551,7.94650618494244e-30,"***"
"76","Transporte de pasajeros por aire (S)","Tdppa(",3.74198404606054,0.157837732741108,2.31155295146628e-47,"***"
"78","Servicios postales","Srvp",3.66234112118597,0.200906602176054,9.08783911105555e-41,"***"
"79","Servicios postales (S)","Srvcsps(S)",3.66234112118597,0.200906602176054,9.08783911105555e-41,"***"
"82","Servicios telefónicos y de facsímile","Stydf",4.54713771958109,0.0034782538950951,0.0021762418789643,"**"
"83","Servicios telefónicos y de facsímile (S)","Stydf(",4.54713771958109,0.0034782538950951,0.0021762418789643,"**"
"84","Recreación y cultura","Rcyc",4.34857738959573,0.0440120636311187,4.4582487652017e-32,"***"
"89","Medios para grabación (SD)","Mpg(",4.32948683634749,0.0475557631456185,1.52967779066479e-20,"***"
"90","Otros artículos y equipo para recreación, jardines y animales domésticos","Oayeprjyad",4.00109588243977,0.111016519400062,6.73345121486241e-52,"***"
"91","Conservación y reparación de otros bienes duraderos importantes para recreación y cultura (S)","Cyrdobdipryc(",4.08364677959343,0.0827218225131326,3.17051507980244e-41,"***"
"92","Equipo de deportes, campamentos y recreación al aire libre (SD)","Eddcyraal(",3.95424060918772,0.137924634509418,3.49009932982202e-51,"***"
"93","Servicios de recreación y culturales","Sdryc",3.9350876058233,0.133462103187087,1.85725082127485e-35,"***"
"94","Servicios de recreación y deportivos (S)","Sdryd(",3.19468207224302,0.321256586428318,2.75064950177784e-29,"***"
"95","Servicios culturales (S)","Sc(S",4.27621963670213,0.0523701829608371,4.7961288852983e-45,"***"
"96","Periódicos, libros y papeles y útiles de oficina","Plypyúdo",3.96882422401551,0.120134775594532,1.13001991880274e-77,"***"
"97","Libros (SD)","L(SD",4.02554510864629,0.104967169657866,1.87464752741238e-76,"***"
"98","Diarios y periódicos (ND)","Dyp(",3.8277773001815,0.15063310080625,4.96842297026699e-58,"***"
"99","Papel y útiles de oficina y materiales de dibujo (ND)","Pyúdoymdd(",3.95068520174366,0.128011305477679,1.21925338324264e-77,"***"
"100","Educación","Edcc",3.6846903456662,0.18074498352297,1.42164538964005e-62,"***"
"101","Enseñanza preescolar y enseñanza primaria","Epyep",3.60407041607968,0.19925364337584,9.57372878660847e-62,"***"
"102","Enseñanza preescolar y enseñanza primaria (S)","Epyep(",3.60407041607968,0.19925364337584,9.57372878660847e-62,"***"
"103","Enseñanza secundaria","Enss",3.65526070858836,0.19297890106173,1.12766722588945e-63,"***"
"104","Enseñanza secundaria (S)","Es(S",3.65526070858836,0.19297890106173,1.12766722588945e-63,"***"
"105","Enseñanza terciaria","Enst",3.86149079909757,0.138118287769993,5.80589625986028e-51,"***"
"106","Enseñanza terciaria (S)","Et(S",3.86149079909757,0.138118287769993,5.80589625986028e-51,"***"
"107","Restaurantes y hoteles","Rsyh",3.65069128900554,0.19139317226342,3.72455755752991e-53,"***"
"108","Servicios de suministro de comidas por contrato","Sdsdcpc",3.64453494029743,0.193398833641739,4.04757145550629e-53,"***"
"109","Restaurantes, cafés y establecimientos similares (S)","Rcyes(",3.64453494029743,0.193398833641739,4.04757145550629e-53,"***"
"110","Servicios de alojamiento","Srda",3.83157452639317,0.122025430720287,4.65264241605841e-52,"***"
"111","Servicios de alojamiento (S)","Sda(S",3.83157452639317,0.122025430720287,4.65264241605841e-52,"***"
"112","Bienes y servicios diversos","Bysd",3.69627422060616,0.181889129085339,3.99988698790662e-54,"***"
"113","Cuidado personal","Cddp",3.70139795117978,0.182566973748803,8.64885890231161e-54,"***"
